               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11328,            0.041307,                   0,           0.0097101,                   1,            0.034705,            0.010033,            0.044436,            0.026719,                   0,              0.0009,              0.0009,              0.0919
                   1,            0.097751,            0.043844,                   0,            0.014358,                   1,            0.056624,            0.018365,            0.043594,            0.026269,                   0,           0.0018687,           0.0018687,            0.082869
                   2,              0.1146,             0.05368,                   0,            0.018945,                   1,            0.046659,            0.015605,            0.043629,            0.025742,                   0,           0.0028043,           0.0028043,            0.073804
                   3,             0.10694,            0.049154,                   0,            0.024472,                 0.6,            0.041097,            0.013813,            0.043018,            0.024836,                   0,           0.0037069,           0.0037069,            0.064707
                   4,             0.09733,            0.052151,                   0,            0.024472,                 0.6,            0.041097,            0.013813,            0.043018,            0.024836,                   0,           0.0045766,           0.0045766,            0.055577
                   5,            0.090004,            0.044606,                   0,            0.011717,                 0.8,            0.040241,           0.0086616,            0.040292,            0.023808,                   0,           0.0054133,           0.0054133,            0.046413
                   6,            0.096526,             0.05194,                   0,            0.011717,                 0.8,            0.040241,           0.0086616,            0.040292,            0.023808,                   0,           0.0062169,           0.0062169,            0.037217
                   7,            0.090287,            0.044982,                   0,            0.050146,                 0.4,            0.098705,            0.016386,            0.033268,            0.022245,                   0,           0.0069876,           0.0069876,            0.027988
                   8,            0.089602,            0.054353,                   0,            0.050146,                 0.4,            0.098705,            0.016386,            0.033268,            0.022245,                   0,           0.0077252,           0.0077252,            0.018725
                   9,            0.093329,            0.055389,                   0,            0.050146,                 0.4,            0.098705,            0.016386,            0.033268,            0.022245,                   0,           0.0084298,           0.0084298,           0.0094298
                  10,            0.092403,            0.046503,                   0,            0.050146,                 0.4,            0.098705,            0.016386,            0.033268,            0.022245,                   0,             0.00835,             0.00835,             0.00835
